X,Y
31.233917,5.5367346
19.873972,6.947536
21.344597,8.177829
30.752398,7.2549114
16.318888,9.598882
15.1929245,11.249456
25.618217,11.003261
17.916307,12.673415
14.206097,17.91386
21.543394,16.887674
9.38594,19.843012
22.136478,19.276012
44.01703,20.400377
43.152916,22.085947
7.8988647,24.09552
12.718055,24.633541
16.149836,25.006334
41.829365,27.200632
5.7953987,28.17361
42.08139,29.031221
15.511267,30.785538
36.085125,30.748596
45.325447,32.24686
12.080285,33.13534
36.0481,34.080963
7.7399445,37.984806
14.506678,37.92279
4.4451222,41.32895
5.802606,45.048428
32.535175,48.06433
6.733918,50.24689
8.154987,51.133553
16.399132,52.254494
4.7300153,52.94267
54.297703,54.549362
18.69042,57.947464
17.062624,58.75335
46.41389,60.985176
10.085681,63.73649
11.32198,64.01142
21.815321,63.65393
34.36635,64.05197
45.915703,63.888565
1.8631401,65.073616
23.718449,64.297714
46.733482,64.40515
19.813112,70.97243
49.391785,74.59645
5.619499,75.593544
37.183125,75.91826
11.487026,76.82184
36.789803,78.88557
7.72499,79.85887
6.127289,90.01978
10.800119,90.584404
12.897511,90.95867
41.23359,92.67088
42.482822,93.13247
5.5535245,94.48574
16.749287,94.957306
45.643642,94.968636
10.340352,96.4841
12.180152,104.72796
8.247948,106.53859
10.103676,111.49901
16.98984,112.01244
10.494557,113.39828
31.27987,5.5040817
19.998451,6.9094024
30.663288,7.288682
27.802376,8.670167
15.171469,11.136996
18.211586,12.76203
12.047686,15.069662
16.790274,14.336554
14.325624,17.727331
21.705587,16.74883
9.681194,19.537827
12.279081,19.35876
44.26635,20.427471
43.29012,22.12207
7.551841,24.081755
13.143663,24.697397
16.142097,25.110712
41.88443,27.173044
5.903399,28.15711
42.07194,29.083176
15.458342,30.904879
36.03199,30.781467
45.395992,32.27635
12.25401,33.324146
36.06152,34.076992
7.4690266,37.849056
14.626014,37.92074
6.080948,44.243546
32.53603,47.994537
6.7719145,50.321507
45.236404,50.117306
8.112726,51.194836
9.209279,51.602142
11.47567,52.579395
14.6000185,52.331192
4.8306775,52.784298
13.715011,53.522686
54.254753,54.530964
1.593854,56.975018
19.05068,58.132004
16.939909,58.674168
47.089333,60.970287
14.1768675,62.224518
19.72912,63.482018
26.359856,63.017563
10.088569,63.587692
21.580963,63.66401
34.376656,64.087524
45.74191,64.084816
1.9556999,64.97555
24.346422,64.42106
47.085423,64.29021
9.391486,67.476555
10.255735,71.22884
19.766455,70.98777
49.256275,74.54253
5.7065377,75.607635
37.33853,75.90194
11.337463,76.81132
30.210054,77.236404
36.766674,78.86511
7.5808973,79.71278
11.0191965,90.617485
13.863912,91.40468
41.1828,92.63115
42.51684,92.961006
5.1660175,94.43233
16.778423,94.92202
45.746235,95.256134
10.036472,96.63416
4.628973,99.53483
8.208079,106.59162
10.0178,111.45724
17.037859,112.017914
11.8459015,113.867294
31.202225,5.18468
17.360615,9.578217
14.822277,11.254813
18.449356,13.150549
17.144495,14.145784
22.257788,15.886326
14.662917,17.32792
8.745872,20.285234
11.983613,19.397041
15.985098,18.95615
44.67041,20.416317
44.03379,22.326313
7.3530664,24.30152
16.117256,25.17793
42.525948,29.335976
35.968025,30.88993
45.604916,32.283894
12.476098,33.350773
23.923769,33.877274
36.08221,34.085476
6.785783,37.646038
14.855487,37.857716
11.829385,42.60556
6.049892,44.414604
32.30817,47.748413
6.910718,50.57286
45.31538,50.246666
9.532478,51.673542
11.510648,52.588943
14.089565,51.94558
5.4172435,52.65368
1.6900785,57.149693
47.393597,60.87985
8.251657,63.350418
12.954087,62.90234
19.706451,63.528976
26.685713,63.0595
47.34192,62.785213
11.116953,63.39502
20.82019,62.940556
34.386063,64.23205
45.157337,64.20136
1.9307961,64.53797
58.564816,64.88438
19.847319,71.02373
9.695763,71.41854
5.1765556,75.26344
49.36054,74.65262
37.58016,75.68024
8.906459,77.43027
11.075218,76.76579
30.111685,77.14879
9.927543,78.18914
34.527145,80.9155
33.66856,85.55792
5.595456,89.7175
10.841141,90.07083
13.449335,91.361015
41.125965,92.46242
42.916233,94.06559
46.00094,94.99515
10.019176,97.13244
5.629164,100.94162
42.546513,103.21224
19.754143,104.32426
11.645881,106.925224
7.979143,106.72676
6.943933,110.46249
22.76318,110.34993
9.888488,111.34388
17.026546,112.0904
12.034715,113.77481
34.385803,4.672056
19.702747,7.9493313
20.94765,7.377494
30.554485,6.7782145
29.91366,9.245897
15.269554,10.6404295
24.329748,10.0608225
18.213057,13.270111
11.93011,14.845534
27.113716,14.581363
16.140915,18.376244
9.132923,20.794147
16.761564,20.380665
53.75959,21.274904
6.9553475,25.46335
15.790981,25.080029
41.834785,28.283413
5.562317,28.936258
49.514015,27.872738
6.9608216,34.019913
7.624817,37.821682
4.1106434,40.97879
4.886716,41.81407
30.647606,42.96532
56.112267,43.648483
6.8645916,44.982677
36.374916,47.942635
14.192043,49.145718
12.721367,49.541725
7.8038244,51.561382
63.971306,51.323895
5.0590477,52.88813
15.142771,55.222992
54.260506,54.666134
18.61443,56.43252
12.030825,57.650665
1.8187916,60.018124
46.956738,62.591583
2.7698088,63.149376
19.85462,63.334267
46.881405,62.616642
