track_id,point_index,x,y,t
1,0,0.4018092,0.035388257,0.0
1,1,0.39656186,0.041643437,0.0062578223
1,2,0.41123092,0.05151219,0.015018773
1,3,0.42568412,0.072125666,0.03379224
1,4,0.4243755,0.071958534,0.035043806
1,5,0.42657626,0.068976544,0.046307884
1,6,0.4236904,0.06558885,0.055068836
1,7,0.4193876,0.063767165,0.071339175
1,8,0.41731992,0.058973778,0.075093865
1,9,0.41790202,0.057092372,0.08635794
1,10,0.39583996,0.039941337,0.095118895
1,11,0.3940812,0.03609406,0.107634544
1,12,0.39472812,0.03533218,0.11514393
1,13,0.3923092,0.030092787,0.12515645
1,14,0.39355558,0.028338598,0.13516895
1,15,0.38687903,0.021069504,0.1476846
1,16,0.3851788,0.019983903,0.16020025
1,17,0.39090896,0.014733623,0.16645807
1,18,0.4320083,0.035767723,0.18022528
1,19,0.4073995,0.04836745,0.19023779
1,20,0.37815222,0.011168653,0.19649562
1,21,0.35307327,0.0012684179,0.2115144
1,22,0.350811,0.009025022,0.21526909
1,23,0.34821665,0.0080615105,0.22778474
1,24,0.3424709,0.017057506,0.23654568
1,25,0.3598086,0.014621834,0.24780977
1,26,0.35173735,0.05903087,0.2640801
1,27,0.3552009,0.061047018,0.26783478
1,28,0.35219264,0.05042016,0.28035045
1,29,0.35067624,0.04788601,0.2853567
1,30,0.35098404,0.049495284,0.3028786
1,31,0.3161385,0.027750282,0.31289113
1,32,0.31157154,0.026750015,0.32165205
1,33,0.31523615,0.0259082,0.3316646
1,34,0.3133533,0.02481516,0.33917397
1,35,0.3197628,0.029330399,0.34918648
1,36,0.32121474,0.028317023,0.35669586
1,37,0.29536724,0.043077495,0.36921152
1,38,0.30311742,0.059805308,0.37546933
1,39,0.31615055,0.07204251,0.38548186
1,40,0.32981128,0.085378,0.39549437
1,41,0.33394974,0.09513851,0.40550688
1,42,0.34917158,0.10379977,0.41677096
1,43,0.3582359,0.106130324,0.42553192
1,44,0.3668004,0.1125909,0.43804756
1,45,0.3670958,0.11915648,0.44555694
1,46,0.35649422,0.12265907,0.45556948
1,47,0.35370177,0.12184245,0.46558198
1,48,0.3484708,0.1195446,0.4755945
1,49,0.3499892,0.1188412,0.50813514
1,50,0.35055885,0.118066385,0.51564455
1,51,0.34518492,0.11568194,0.5419274
1,52,0.36332262,0.13445725,0.55694616
1,53,0.36957994,0.1308212,0.5669587
1,54,0.3689837,0.12839824,0.58322906
1,55,0.36833826,0.12747023,0.5882353
